NIU,CODIGO_CONEXION,TIPO_CONEXION,NIVEL_TENSION,NIVEL_TENSION_PRIMARIA,PORC_PROP_ACTIV,CONEXION_RED,ID_COMERCIALIZADOR,ID_MERCADO,GRUPO_CALIDAD,COD_FRONTERA_COMERCIAL,COD_CIRCUITO_LINEA,COD_TRANSFORMADOR,COD_DANE,UBICACION,DIRECCION,COND_ESPEC,TIPO_AREA_ESPEC,COD_AREA_ESPEC,ESTRATO,ALTITUD,LONGITUD,LATITUD,AUTOGENERADOR,EXP_ENERGIA,CAPAC_AUTOGEN,TIP_GENERACION,COD_FRONTERA_EXPORT,F_ENTRADA_GENERAR,CONTR_RESPALDO,CAPAC_CONTR_RES
2614393,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CL 18 22A 41 ,0,0,0,3,973,-76.199500,4.0918,3,,,,,,,
2614395,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CL 18 22A 21 ,0,0,0,3,973,-76.199500,4.0918,3,,,,,,,
2614397,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CL 18 22A 23 ,0,0,0,3,973,-76.199500,4.0918,3,,,,,,,
2614399,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CL 18 22A 87 ,0,0,0,3,973,-76.199500,4.0918,3,,,,,,,
2614401,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CL 18 22 47 ,0,0,0,3,973,-76.199500,4.0918,3,,,,,,,
2614403,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CL 18 22A 5 ,0,0,0,3,973,-76.199500,4.0918,3,,,,,,,
2614405,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CR 22A 17 66 ,0,0,0,2,973,-76.199500,4.0918,3,,,,,,,
2614407,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CR 22A 17 62 ,0,0,0,2,973,-76.199500,4.0918,3,,,,,,,
2614409,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CR 22A 17 67 ,0,0,0,2,973,-76.199500,4.0918,3,,,,,,,
2614411,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CR 22A 17 63 ,0,0,0,2,973,-76.199500,4.0918,3,,,,,,,
2614413,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,K 22A C 17 58,0,0,0,2,973,-76.199500,4.0918,3,,,,,,,
2614415,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,K 22A C 17 59,0,0,0,2,973,-76.199500,4.0918,3,,,,,,,
2614417,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CR 22A 16 65 ,0,0,0,2,973,-76.199500,4.0918,3,,,,,,,
2614419,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CR 22A 17 18 ,0,0,0,2,973,-76.199500,4.0918,3,,,,,,,
