NIU,CODIGO_DE_CONEXION,TIPO_DE_CONEXION,NIVEL_DE_TENSION,NIVEL_DE_TENSION_PRIMARIO,PORC_PROPIEDAD_DEL_ACTIVO,CONEXION_RED,ID_COMERCIALIZADOR,ID_MERCADO,GRUPO_DE_CALIDAD,COD_FRONTERA_COMERCIAL,CODIGO_CIRCUITO_O_LINEA,CODIGO_TRANSFORMADOR,CODIGO_DANE_NIU,UBICACION,DIRECCION,CONDICION_ESPECIAL,TIPO_AREA_ESPECIAL,CODIGO_AREA_ESPECIAL,ESTRATO_ID,ALTITUD,LONGITUD,LATITUD,AUTOGENERADOR,EXPORTA_ENERGIA,POTENCIA,TIPO_GENERACION,CODIGO_FRONTERA_AUTO_GEN,INICIO_OPERACION,CONTRATO_RESPALDO,CAPACIDAD_CONTRATO_RESPALDO
21406640,100I230000,2,1,2,100,1,62371,444,12,Frt75665,,100I230000,47189000,2,CL 18 CR 5 - 48 Ap 1 AW8920,0,3,9997,2,4,-74.2546403,11.0064812,3,,,,,,,
21406922,1012C60000,2,1,2,0,1,62371,444,12,Frt84744,,1012C60000,8001000,2,CL 45 CR 20 - 116 LOC 01 BA1700,0,0,0,8,37,-74.7935182,10.9609208,3,,,,,,,
21413662,101KZ90000,2,1,2,100,1,62371,444,22,Frt72562,,101KZ90000,8770000,2,CL 3 No CR 14 - 60 DPL EP9819,0,3,9409,8,9,-74.8785931,10.3340896,3,,,,,,,
21414974,10065O0000,2,1,2,0,2,62371,444,11,Frt78269,,10065O0000,47001000,2,CARRT 90 No KM - 18 ENTR 23 LOC 45 AK5730,9,3,9724,8,4,-74.2323059,11.1165955,3,,,,,,,
21419702,100UZQ0000,2,1,2,0,1,62371,444,12,Frt82920,,100UZQ0000,8296000,2,CARRT DE LA CORDIALIDAD No KM 1 - 3 BDGA 16A AV8105,9,0,0,8,33,-74.8388753,10.9428947,3,,,,,,,
21422654,1014DD0000,2,1,2,0,1,62371,444,32,Frt76488,,1014DD0000,8573000,1,CL 3 CR 25 - 28 LOC 1234 DQ4528,0,0,0,8,28,-74.8604993,11.0226332,3,,,,,,,
21423783,2024,1,2,2,101,1,62371,444,12,Frt71064,2024,,47745000,1,CL 6 No KM 2 - 1 BDGA 1 DP3653,9,3,9231,8,10,-74.7710754,10.9495593,3,,,,,,,
21427816,100RWS0000,2,1,2,0,2,62371,444,12,Frt44473,,100RWS0000,8001000,2,CL 82 55 91 LOC DICE,0,0,0,8,72,-74.8126707,11.0075205,3,,,,,,,
21429232,100PW80000,2,1,2,0,2,62371,444,11,Frt68438,,100PW80000,47001000,2,CR 7 116A - 40 LOC 1-32,0,0,0,7,14,-74.2218122,11.1474552,3,,,,,,,
21432813,0458,1,2,2,101,1,62371,444,12,Frt44943,0458,,8758000,2,V CIRCUNVLR 43 75 LOC QIEN,0,0,0,7,38,-74.7930524,10.9281115,3,,,,,,,
21433970,10062Z0000,2,1,2,100,1,62371,444,11,Frt60343,,10062Z0000,47001000,2,CL 135 No CR 1 - 150 DPL Z838,0,0,0,7,18,-74.2230524,11.137447,3,,,,,,,
21434317,100O2I0000,2,1,2,100,1,62371,444,22,Frt78442,,100O2I0000,8078000,2,CL 17 No 17A - 77 LOC 1 CQ4265,9,0,0,8,118,-74.9152898,10.7964077,3,,,,,,,
21435597,0339,1,2,2,101,1,62371,444,12,Frt44518,0339,,8001000,2,CR 58 84 214 LOC QIEN,0,0,0,7,63,-74.8131534,11.0137506,3,,,,,,,
